All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     durioz.pilon
# misassemblies              168         
    # relocations            166         
    # translocations         0           
    # inversions             2           
# misassembled contigs       86          
Misassembled contigs length  18564751    
# local misassemblies        255         
# unaligned mis. contigs     15          
# mismatches                 67367       
# indels                     24514       
    # indels (<= 5 bp)       22964       
    # indels (> 5 bp)        1550        
Indels length                51851       
